SiteName,MonitorDate,Concentration,ItemUnit
南投,2016-05-18,24,μg/m3
彰化,2016-05-18,18,μg/m3
忠明,2016-05-18,19,μg/m3
豐原,2016-05-18,19,μg/m3
三義,2016-05-18,17,μg/m3
苗栗,2016-05-18,,μg/m3
新竹,2016-05-18,17,μg/m3
竹東,2016-05-18,16,μg/m3
平鎮,2016-05-18,17,μg/m3
桃園,2016-05-18,17,μg/m3
萬華,2016-05-18,16,μg/m3
士林,2016-05-18,16,μg/m3
板橋,2016-05-18,16,μg/m3
汐止,2016-05-18,16,μg/m3
基隆,2016-05-18,15,μg/m3
馬公,2016-05-15,22,μg/m3
金門,2016-05-15,25,μg/m3
馬祖,2016-05-15,17,μg/m3
宜蘭,2016-05-15,7,μg/m3
陽明,2016-05-15,17,μg/m3
花蓮,2016-05-15,6,μg/m3
臺東,2016-05-15,8,μg/m3
恆春,2016-05-15,6,μg/m3
屏東,2016-05-15,,μg/m3
前金,2016-05-15,18,μg/m3
美濃,2016-05-15,11,μg/m3
臺南,2016-05-15,16,μg/m3
新營,2016-05-15,19,μg/m3
嘉義,2016-05-15,16,μg/m3
朴子,2016-05-15,20,μg/m3
斗六,2016-05-15,21,μg/m3
南投,2016-05-15,17,μg/m3
彰化,2016-05-15,26,μg/m3
忠明,2016-05-15,21,μg/m3
豐原,2016-05-15,22,μg/m3
三義,2016-05-15,24,μg/m3
苗栗,2016-05-15,24,μg/m3
新竹,2016-05-15,27,μg/m3
竹東,2016-05-15,22,μg/m3
平鎮,2016-05-15,24,μg/m3
桃園,2016-05-15,23,μg/m3
萬華,2016-05-15,12,μg/m3
士林,2016-05-15,13,μg/m3
板橋,2016-05-15,17,μg/m3
汐止,2016-05-15,14,μg/m3
基隆,2016-05-15,,μg/m3
馬公,2016-05-12,19,μg/m3
金門,2016-05-12,30,μg/m3
馬祖,2016-05-12,28,μg/m3
宜蘭,2016-05-12,11,μg/m3
陽明,2016-05-12,14,μg/m3
花蓮,2016-05-12,13,μg/m3
臺東,2016-05-12,7,μg/m3
恆春,2016-05-12,9,μg/m3
屏東,2016-05-12,14,μg/m3
前金,2016-05-12,14,μg/m3
美濃,2016-05-12,12,μg/m3
臺南,2016-05-12,27,μg/m3
新營,2016-05-12,31,μg/m3
嘉義,2016-05-12,30,μg/m3
朴子,2016-05-12,26,μg/m3
斗六,2016-05-12,28,μg/m3
南投,2016-05-12,19,μg/m3
彰化,2016-05-12,23,μg/m3
忠明,2016-05-12,22,μg/m3
豐原,2016-05-12,22,μg/m3
三義,2016-05-12,25,μg/m3
苗栗,2016-05-12,,μg/m3
新竹,2016-05-12,22,μg/m3
竹東,2016-05-12,22,μg/m3
平鎮,2016-05-12,22,μg/m3
桃園,2016-05-12,20,μg/m3
萬華,2016-05-12,13,μg/m3
士林,2016-05-12,14,μg/m3
板橋,2016-05-12,14,μg/m3
汐止,2016-05-12,13,μg/m3
基隆,2016-05-12,10,μg/m3
馬公,2016-05-09,7,μg/m3
金門,2016-05-09,17,μg/m3
馬祖,2016-05-09,,μg/m3
宜蘭,2016-05-09,11,μg/m3
陽明,2016-05-09,15,μg/m3
花蓮,2016-05-09,5,μg/m3
臺東,2016-05-09,5,μg/m3
恆春,2016-05-09,5,μg/m3
屏東,2016-05-09,8,μg/m3
前金,2016-05-09,7,μg/m3
美濃,2016-05-09,9,μg/m3
臺南,2016-05-09,7,μg/m3
新營,2016-05-09,8,μg/m3
嘉義,2016-05-09,9,μg/m3
朴子,2016-05-09,9,μg/m3
斗六,2016-05-09,,μg/m3
南投,2016-05-09,13,μg/m3
彰化,2016-05-09,14,μg/m3
忠明,2016-05-09,13,μg/m3
豐原,2016-05-09,14,μg/m3
三義,2016-05-09,15,μg/m3
苗栗,2016-05-09,,μg/m3
新竹,2016-05-09,14,μg/m3
竹東,2016-05-09,19,μg/m3
平鎮,2016-05-09,17,μg/m3
桃園,2016-05-09,22,μg/m3
萬華,2016-05-09,18,μg/m3
士林,2016-05-09,18,μg/m3
板橋,2016-05-09,20,μg/m3
汐止,2016-05-09,20,μg/m3
基隆,2016-05-09,18,μg/m3
馬公,2016-05-06,7,μg/m3
金門,2016-05-06,14,μg/m3
馬祖,2016-05-06,19,μg/m3
宜蘭,2016-05-06,8,μg/m3
陽明,2016-05-06,,μg/m3
花蓮,2016-05-06,7,μg/m3
臺東,2016-05-06,6,μg/m3
恆春,2016-05-06,3,μg/m3
屏東,2016-05-06,9,μg/m3
前金,2016-05-06,8,μg/m3
美濃,2016-05-06,10,μg/m3
臺南,2016-05-06,8,μg/m3
新營,2016-05-06,9,μg/m3
嘉義,2016-05-06,10,μg/m3
朴子,2016-05-06,10,μg/m3
斗六,2016-05-06,,μg/m3
南投,2016-05-06,12,μg/m3
彰化,2016-05-06,,μg/m3
忠明,2016-05-06,14,μg/m3
豐原,2016-05-06,14,μg/m3
三義,2016-05-06,14,μg/m3
苗栗,2016-05-06,12,μg/m3
新竹,2016-05-06,15,μg/m3
竹東,2016-05-06,,μg/m3
平鎮,2016-05-06,15,μg/m3
桃園,2016-05-06,15,μg/m3
萬華,2016-05-06,13,μg/m3
士林,2016-05-06,12,μg/m3
板橋,2016-05-06,14,μg/m3
汐止,2016-05-06,,μg/m3
基隆,2016-05-06,10,μg/m3
馬公,2016-05-03,13,μg/m3
金門,2016-05-03,27,μg/m3
馬祖,2016-05-03,22,μg/m3
宜蘭,2016-05-03,19,μg/m3
陽明,2016-05-03,13,μg/m3
花蓮,2016-05-03,18,μg/m3
臺東,2016-05-03,16,μg/m3
恆春,2016-05-03,14,μg/m3
屏東,2016-05-03,14,μg/m3
前金,2016-05-03,14,μg/m3
美濃,2016-05-03,13,μg/m3
臺南,2016-05-03,14,μg/m3
新營,2016-05-03,14,μg/m3
嘉義,2016-05-03,14,μg/m3
朴子,2016-05-03,15,μg/m3
斗六,2016-05-03,16,μg/m3
南投,2016-05-03,18,μg/m3
彰化,2016-05-03,20,μg/m3
忠明,2016-05-03,19,μg/m3
豐原,2016-05-03,19,μg/m3
三義,2016-05-03,19,μg/m3
苗栗,2016-05-03,18,μg/m3
新竹,2016-05-03,18,μg/m3
竹東,2016-05-03,18,μg/m3
平鎮,2016-05-03,18,μg/m3
桃園,2016-05-03,20,μg/m3
萬華,2016-05-03,19,μg/m3
士林,2016-05-03,20,μg/m3
板橋,2016-05-03,22,μg/m3
汐止,2016-05-03,20,μg/m3
基隆,2016-05-03,,μg/m3
馬公,2016-04-30,31,μg/m3
金門,2016-04-30,68,μg/m3
馬祖,2016-04-30,45,μg/m3
宜蘭,2016-04-30,48,μg/m3
陽明,2016-04-30,44,μg/m3
花蓮,2016-04-30,41,μg/m3
臺東,2016-04-30,32,μg/m3
恆春,2016-04-30,29,μg/m3
屏東,2016-04-30,51,μg/m3
前金,2016-04-30,44,μg/m3
美濃,2016-04-30,44,μg/m3
臺南,2016-04-30,,μg/m3
新營,2016-04-30,,μg/m3
嘉義,2016-04-30,,μg/m3
朴子,2016-04-30,87,μg/m3
斗六,2016-04-30,,μg/m3
南投,2016-04-30,58,μg/m3
彰化,2016-04-30,71,μg/m3
忠明,2016-04-30,61,μg/m3
豐原,2016-04-30,62,μg/m3
三義,2016-04-30,59,μg/m3
苗栗,2016-04-30,57,μg/m3
新竹,2016-04-30,,μg/m3
竹東,2016-04-30,52,μg/m3
平鎮,2016-04-30,63,μg/m3
桃園,2016-04-30,65,μg/m3
萬華,2016-04-30,53,μg/m3
士林,2016-04-30,57,μg/m3
板橋,2016-04-30,63,μg/m3
汐止,2016-04-30,48,μg/m3
基隆,2016-04-30,47,μg/m3
馬公,2016-04-27,13,μg/m3
金門,2016-04-27,25,μg/m3
馬祖,2016-04-27,23,μg/m3
宜蘭,2016-04-27,15,μg/m3
陽明,2016-04-27,,μg/m3
花蓮,2016-04-27,14,μg/m3
臺東,2016-04-27,13,μg/m3
恆春,2016-04-27,10,μg/m3
屏東,2016-04-27,17,μg/m3
前金,2016-04-27,13,μg/m3
美濃,2016-04-27,14,μg/m3
臺南,2016-04-27,14,μg/m3
新營,2016-04-27,16,μg/m3
嘉義,2016-04-27,17,μg/m3
朴子,2016-04-27,17,μg/m3
斗六,2016-04-27,18,μg/m3
南投,2016-04-27,16,μg/m3
彰化,2016-04-27,17,μg/m3
忠明,2016-04-27,16,μg/m3
豐原,2016-04-27,16,μg/m3
三義,2016-04-27,15,μg/m3
苗栗,2016-04-27,16,μg/m3
新竹,2016-04-27,16,μg/m3
竹東,2016-04-27,17,μg/m3
平鎮,2016-04-27,14,μg/m3
桃園,2016-04-27,15,μg/m3
萬華,2016-04-27,16,μg/m3
士林,2016-04-27,14,μg/m3
板橋,2016-04-27,16,μg/m3
汐止,2016-04-27,15,μg/m3
基隆,2016-04-27,,μg/m3
馬公,2016-04-24,7,μg/m3
金門,2016-04-24,14,μg/m3
馬祖,2016-04-24,15,μg/m3
宜蘭,2016-04-24,14,μg/m3
陽明,2016-04-24,15,μg/m3
花蓮,2016-04-24,13,μg/m3
臺東,2016-04-24,10,μg/m3
恆春,2016-04-24,8,μg/m3
屏東,2016-04-24,14,μg/m3
前金,2016-04-24,12,μg/m3
美濃,2016-04-24,13,μg/m3
臺南,2016-04-24,,μg/m3
新營,2016-04-24,14,μg/m3
嘉義,2016-04-24,13,μg/m3
朴子,2016-04-24,15,μg/m3
斗六,2016-04-24,17,μg/m3
南投,2016-04-24,13,μg/m3
彰化,2016-04-24,16,μg/m3
忠明,2016-04-24,14,μg/m3
豐原,2016-04-24,13,μg/m3
三義,2016-04-24,13,μg/m3
苗栗,2016-04-24,17,μg/m3
新竹,2016-04-24,19,μg/m3
竹東,2016-04-24,17,μg/m3
平鎮,2016-04-24,22,μg/m3
桃園,2016-04-24,23,μg/m3
萬華,2016-04-24,19,μg/m3
士林,2016-04-24,18,μg/m3
板橋,2016-04-24,,μg/m3
汐止,2016-04-24,18,μg/m3
基隆,2016-04-24,16,μg/m3
馬公,2016-04-21,13,μg/m3
金門,2016-04-21,,μg/m3
馬祖,2016-04-21,22,μg/m3
宜蘭,2016-04-21,,μg/m3
陽明,2016-04-21,25,μg/m3
花蓮,2016-04-21,10,μg/m3
臺東,2016-04-21,12,μg/m3
恆春,2016-04-21,8,μg/m3
屏東,2016-04-21,20,μg/m3
前金,2016-04-21,11,μg/m3
美濃,2016-04-21,17,μg/m3
臺南,2016-04-21,21,μg/m3
新營,2016-04-21,21,μg/m3
嘉義,2016-04-21,24,μg/m3
朴子,2016-04-21,26,μg/m3
斗六,2016-04-21,28,μg/m3
南投,2016-04-21,27,μg/m3
彰化,2016-04-21,28,μg/m3
忠明,2016-04-21,28,μg/m3
豐原,2016-04-21,26,μg/m3
三義,2016-04-21,26,μg/m3
苗栗,2016-04-21,,μg/m3
新竹,2016-04-21,25,μg/m3
竹東,2016-04-21,23,μg/m3
平鎮,2016-04-21,30,μg/m3
桃園,2016-04-21,,μg/m3
萬華,2016-04-21,31,μg/m3
士林,2016-04-21,28,μg/m3
板橋,2016-04-21,36,μg/m3
汐止,2016-04-21,32,μg/m3
基隆,2016-04-21,27,μg/m3
馬公,2016-04-18,11,μg/m3
金門,2016-04-18,19,μg/m3
馬祖,2016-04-18,11,μg/m3
宜蘭,2016-04-18,6,μg/m3
陽明,2016-04-18,3,μg/m3
花蓮,2016-04-18,14,μg/m3
臺東,2016-04-18,14,μg/m3
恆春,2016-04-18,13,μg/m3
屏東,2016-04-18,17,μg/m3
前金,2016-04-18,19,μg/m3
美濃,2016-04-18,14,μg/m3
臺南,2016-04-18,15,μg/m3
新營,2016-04-18,13,μg/m3
嘉義,2016-04-18,14,μg/m3
朴子,2016-04-18,13,μg/m3
斗六,2016-04-18,15,μg/m3
南投,2016-04-18,15,μg/m3
彰化,2016-04-18,13,μg/m3
忠明,2016-04-18,14,μg/m3
豐原,2016-04-18,12,μg/m3
三義,2016-04-18,11,μg/m3
苗栗,2016-04-18,14,μg/m3
新竹,2016-04-18,13,μg/m3
竹東,2016-04-18,10,μg/m3
平鎮,2016-04-18,13,μg/m3
桃園,2016-04-18,13,μg/m3
萬華,2016-04-18,10,μg/m3
士林,2016-04-18,11,μg/m3
板橋,2016-04-18,11,μg/m3
汐止,2016-04-18,14,μg/m3
基隆,2016-04-18,12,μg/m3
馬公,2016-04-15,18,μg/m3
金門,2016-04-15,51,μg/m3
馬祖,2016-04-15,26,μg/m3
宜蘭,2016-04-15,8,μg/m3
陽明,2016-04-15,4,μg/m3
花蓮,2016-04-15,,μg/m3
臺東,2016-04-15,5,μg/m3
恆春,2016-04-15,6,μg/m3
屏東,2016-04-15,13,μg/m3
前金,2016-04-15,15,μg/m3
美濃,2016-04-15,10,μg/m3
臺南,2016-04-15,18,μg/m3
新營,2016-04-15,,μg/m3
嘉義,2016-04-15,25,μg/m3
朴子,2016-04-15,29,μg/m3
斗六,2016-04-15,29,μg/m3
南投,2016-04-15,23,μg/m3
彰化,2016-04-15,33,μg/m3
忠明,2016-04-15,32,μg/m3
豐原,2016-04-15,30,μg/m3
三義,2016-04-15,19,μg/m3
苗栗,2016-04-15,22,μg/m3
